timestamp,ppg
0.0,0.0
21.695613861083984,0.0
39.83187675476074,0.0
60.912370681762695,0.0
80.1088809967041,0.0
101.23181343078613,0.0
122.37763404846191,0.0
140.42377471923828,0.0
161.37146949768066,0.0
180.3429126739502,0.0
202.34417915344238,0.0
220.83139419555664,0.0
241.3933277130127,0.0
262.30669021606445,0.0
280.81798553466797,0.0
302.49834060668945,70.32967376708984
320.7066059112549,416.8498229980469
340.8350944519043,761.1721801757812
362.19215393066406,1010.989013671875
379.8999786376953,1165.5677490234375
403.0280113220215,1257.142822265625
421.161413192749,1290.842529296875
441.0569667816162,1284.981689453125
462.9538059234619,1267.3992919921875
479.92944717407227,1252.0146484375
501.9192695617676,1259.3406982421875
523.3526229858398,1299.6336669921875
539.9439334869385,1389.7435302734375
561.1233711242676,1517.216064453125
583.0259323120117,1640.2930908203125
600.1923084259033,1736.996337890625
621.300220489502,1784.6153564453125
646.3680267333984,1783.150146484375
660.2849960327148,1761.90478515625
680.9391975402832,1723.076904296875
703.6793231964111,1684.2490234375
720.0219631195068,1644.6885986328125
741.5475845336914,1614.6519775390625
763.0879878997803,1585.3480224609375
783.1223011016846,1552.3809814453125
800.1761436462402,1514.2857666015625
821.4428424835205,1487.179443359375
844.048023223877,1485.7142333984375
860.4702949523926,1501.83154296875
883.26096534729,1526.00732421875
901.1509418487549,1543.5897216796875
922.6260185241699,1554.5787353515625
940.5238628387451,1566.3004150390625
963.2606506347656,1565.5677490234375
980.4394245147705,1549.4505615234375
1001.9106864929199,1512.820556640625
1023.1943130493164,1476.1904296875
1040.247917175293,1431.5018310546875
1061.1543655395508,1386.08056640625
1083.1232070922852,1378.02197265625
1100.224256515503,1379.4871826171875
1125.112771987915,1372.1611328125
1144.0510749816895,1341.3919677734375
1160.2087020874023,1318.6812744140625
1185.842514038086,1280.5860595703125
1206.9778442382812,1239.5604248046875
1225.5597114562988,1224.908447265625
1245.2569007873535,1223.4432373046875
1262.251377105713,1239.5604248046875
1285.515308380127,1252.7471923828125
1301.1753559112549,1266.6666259765625
1321.8963146209717,1291.5750732421875
1340.284824371338,1326.00732421875
1361.2511157989502,1328.937744140625
1381.2131881713867,1304.761962890625
1402.2605419158936,1297.4359130859375
1422.1656322479248,1315.018310546875
1440.8769607543945,1334.06591796875
1462.5568389892578,1345.78759765625
1479.8493385314941,1348.7178955078125
1501.0461807250977,1355.3114013671875
1522.1197605133057,1419.7802734375
1540.3473377227783,1540.6593017578125
1562.450885772705,1683.5164794921875
1583.000659942627,1814.6519775390625
1601.1521816253662,1895.970703125
1621.1187839508057,1910.6226806640625
1643.401861190796,1873.99267578125
1659.9483489990234,1819.7802734375
